ProcessID	BurstTime	ArrivalTime	Priority
1001	42	0	2
1002	75	0	4
1003	18	0	1
1004	91	0	5
1005	36	0	3
1006	64	0	2
1007	27	0	1
1008	88	0	4
1009	55	0	5
1010	31	0	2
1011	79	0	3
1012	47	0	4
1013	12	0	0
1014	6	0	1
1015	58	0	3
1016	94	0	5
1017	83	0	0
1018	61	0	4
1019	29	0	2
1020	66	0	1
1021	52	0	2
1022	8	0	0
1023	71	0	1
1024	24	0	0
1025	19	0	1
1026	33	0	0
1027	49	0	5
1028	77	0	4
1029	35	0	0
1030	46	0	2
1031	28	0	3
1032	89	0	1
1033	82	0	2
1034	95	0	5
1035	41	0	4
1036	11	0	0
1037	16	0	3
1038	73	0	4
1039	5	0	2
1040	26	0	2
1041	14	0	3
1042	22	0	0
1043	44	0	3
1044	39	0	3
1045	97	0	5
1046	53	0	4
1047	37	0	5
1048	9	0	4
1049	17	0	0
1050	34	0	5
1051	31	0	4
1052	48	0	1
1053	45	0	2
1054	92	0	2
1055	69	1	0
1056	41	1	3
1057	63	1	3
1058	38	1	2
1059	85	1	4
1060	3	1	0
1061	78	1	3
1062	46	1	2
1063	44	1	3
1064	36	1	2
1065	32	1	5
1066	59	1	3
1067	57	1	3
1068	4	1	5
1069	88	1	2
1070	62	1	4
1071	29	1	4
1072	71	1	0
1073	84	1	3
1074	43	1	2
1075	48	1	3
1076	18	1	0
1077	91	1	4
1078	67	1	2
1079	35	1	2
1080	21	1	1
1081	53	1	2
1082	6	1	0
1083	51	1	0
1084	74	1	5
1085	39	1	3
1086	27	1	0
1087	24	1	1
1088	7	1	0
1089	86	1	4
1090	33	1	0
1091	82	1	4
1092	90	1	5
1093	47	1	0
1094	13	1	1
1095	44	1	2
1096	96	1	4
1097	23	1	5
1098	58	1	3
1099	72	1	4
1100	61	1	0
1101	84	2	5
1102	19	2	4
1103	77	2	1
1104	54	2	0
1105	2	2	1
1106	28	2	2
1107	17	2	3
1108	15	2	3
1109	68	2	5
1110	74	2	2
1111	65	2	4
1112	29	2	0
1113	57	2	4
1114	45	2	3
1115	41	2	0
1116	26	2	2
1117	79	2	5
1118	37	2	1
1119	81	2	0
1120	56	2	4
1121	14	2	3
1122	51	2	5
1123	49	2	4
1124	34	2	2
1125	52	2	4
1126	38	2	5
1127	33	2	4
1128	25	2	0
1129	87	2	5
1130	66	2	2
1131	73	2	0
1132	46	2	3
1133	83	2	5
1134	39	2	0
1135	9	2	0
1136	63	2	2
1137	35	2	3
1138	27	2	1
1139	54	2	0
1140	89	2	5
1141	8	2	1
1142	57	2	0
1143	34	2	0
1144	59	2	0
1145	62	2	3
1146	91	2	4
1147	68	2	3
1148	86	2	3
1149	12	2	4
1150	81	2	0
1151	79	2	1
1152	71	2	1
1153	88	2	2
1154	67	3	4
1155	24	3	4
1156	49	3	1
1157	61	3	1
1158	45	3	5
1159	66	3	1
1160	2	3	5
1161	48	3	0
1162	3	3	3
1163	26	3	0
1164	55	3	5
1165	17	3	4
1166	6	3	2
1167	89	3	4
1168	58	3	4
1169	94	3	1
1170	52	3	4
1171	36	3	3
1172	69	3	0
1173	41	3	4
1174	57	3	5
1175	73	3	0
1176	38	4	5
1177	91	4	5
1178	22	4	2
1179	31	4	3
1180	77	4	3
1181	96	4	0
1182	64	4	3
1183	48	4	3
1184	11	4	3
1185	72	4	4
1186	2	4	0
1187	85	4	2
1188	36	4	2
1189	79	4	5
1190	29	4	1
1191	68	5	3
1192	92	5	5
1193	87	5	4
1194	59	5	5
1195	21	5	5
1196	42	5	3
1197	35	5	0
1198	74	5	0
1199	10	5	2
1200	81	5	1
